2019-08-18 @ 16:06:38 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:08:40 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:10:41 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:12:43 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:14:44 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:16:46 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:18:47 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:20:49 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:22:50 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:24:52 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:26:54 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:28:55 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:30:57 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:32:58 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:35:00 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:37:01 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:39:03 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:41:04 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:43:06 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:45:08 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:47:09 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:49:11 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:51:12 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:53:14 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:55:16 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:57:17 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:59:19 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:01:20 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:03:22 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:05:23 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:07:25 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:09:27 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:11:28 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:13:30 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:15:31 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:17:33 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:19:35 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:21:36 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:23:38 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:25:39 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:27:41 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:29:42 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:31:44 | Data Collected, sleeping for 2 mins
2019-08-18 @ 17:33:44 | log run complete
2019-08-19 @ 19:00:02 | Starting Script
2019-08-19 @ 19:00:04 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:02:06 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:04:07 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:06:09 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:08:10 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:10:12 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:12:14 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:14:15 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:16:17 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:18:18 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:20:20 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:22:21 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:24:23 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:26:24 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:28:26 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:30:28 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:32:29 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:34:31 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:36:32 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:38:34 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:40:35 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:42:37 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:44:39 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:46:40 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:48:42 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:50:43 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:52:45 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:54:47 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:56:48 | Data Collected, sleeping for 2 mins
2019-08-19 @ 19:58:50 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:00:51 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:02:53 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:04:54 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:06:56 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:08:58 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:10:59 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:13:01 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:15:02 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:17:04 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:19:05 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:21:07 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:23:09 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:25:10 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:27:12 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:29:13 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:31:15 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:33:17 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:35:18 | Data Collected, sleeping for 2 mins
